使用说明：本库仅提供非物质文化遗产的灵感索引与搜索方向（短代码、关键词、情绪标签）。生成具体提示词时，必须根据“看点”和“视觉关键词”执行联网搜索，获取参考后结合主规则24进行原创改造，禁止直接复制库内任何描述作为最终输出。

主规则能够解析 [非遗] @京剧 | 看点 | 视觉关键词 | 情绪关键词 | 关联规则
[非遗] @唐代·半臂 | 短袖上衣，套在襦外，唐代女装特色 | 对襟，无袖，锦边 | 俏丽、活泼 | 24,161
[非遗] @唐代·披帛 | 长条丝巾，搭于肩臂，随风飘动 | 轻纱，彩绘，飘动动态 | 飘逸、柔美 | 24,161
[非遗] @宋代·褙子 | 直领对襟，两侧开衩，修长，素雅 | 窄袖或宽袖，衣长过膝，素色 | 清雅、婉约 | 24,161
[非遗] @宋代·宋裤 | 开裆裤外罩，裙裤，宋代女子下装 | 裤腿宽大，两侧开衩，叠穿 | 潇洒、舒适 | 24,161
[非遗] @宋代·直裰 | 男子直裰，交领宽袖，文人常服 | 素色，衣长至脚，腰系丝绦 | 儒雅、简朴 | 24,161
[非遗] @宋代·大袖衫 | 大袖礼服，外罩，宋制婚服 | 宽袖，长衣，刺绣纹样 | 华贵、端庄 | 24,161
[非遗] @辽代·契丹服 | 左衽长袍，窄袖，皮帽，游牧风格 | 左衽，皮毛缘边，长靴 | 豪放、粗犷 | 24,161
[非遗] @金代·女真服 | 左衽窄袖，暖帽，带蹀躞带 | 皮毛，翻领，箭袖 | 刚健、民族 | 24,161
[非遗] @元代·蒙古袍 | 右衽交领，腰间百褶，辫线袄，质孙服 | 宽大，腰带，皮靴 | 雄浑、豪迈 | 24,161
[非遗] @元代·比甲 | 无袖背心，罩于袍外，元代流行 | 对襟，两侧开衩，镶边 | 利落、简洁 | 24,161
[非遗] @明代·补服 | 胸前背后缀补子，文禽武兽，官服 | 圆领，宽袖，补子刺绣 | 威严、等级 | 24,161
[非遗] @明代·曳撒 | 男子长袍，两侧褶，贴里，明制便服 | 交领，窄袖，马面褶 | 潇洒、英武 | 24,161
[非遗] @明代·披风 | 大氅，直领对襟，无袖，明代外套 | 直领，系带，长至脚踝 | 儒雅、大气 | 24,161
[非遗] @明代·比甲 | 无袖罩衫，明代女装，搭配长裙 | 对襟，领口镶边，腰间系带 | 秀丽、简约 | 24,161
[非遗] @明代·水田衣 | 各色布料拼缝，如水田，明代女装 | 几何拼接，彩色布块 | 独特、俏丽 | 24,161
[非遗] @清代·旗装 | 满族旗袍，圆领右衽，窄袖，镶滚边 | 宽身，平直，花盆底鞋 | 端庄、华丽 | 24,161
[非遗] @清代·马褂 | 短褂套于袍外，清代男子便服 | 对襟，立领，袖口马蹄袖 | 干练、英武 | 24,161
[非遗] @清代·长袍 | 清代男子长袍，大襟右衽，开衩 | 素色或暗纹，马褂外罩 | 儒雅、稳重 | 24,161
[非遗] @清代·氅衣 | 清代女便服，宽身，镶滚繁复 | 大襟，挽袖，花边多层 | 华丽、繁复 | 24,161
[非遗] @民国·旗袍 | 修身，高开衩，立领，盘扣 | 曲线，侧衩，丝绸印花 | 优雅、性感 | 24,161
[非遗] @民国·长衫 | 男子长衫，立领，素色，文人气 | 直身，布扣，筒裤 | 儒雅、斯文 | 24,161
[非遗] @民国·中山装 | 立领，四个口袋，五粒扣，中式正装 | 笔挺，庄重，深色 | 正气、革命 | 24,161
[非遗] @古代·斗笠 | 竹编斗笠，遮阳避雨，江湖侠客 | 竹帽，笠沿，麻绳系带 | 隐逸、侠气 | 24,161
[非遗] @古代·蓑衣 | 棕榈/草编雨衣，渔翁农夫 | 棕丝，草编，雨水滑落 | 质朴、隐逸 | 24,161
[非遗] @古代·幞头 | 男子头巾，唐代至明代，官员常戴 | 黑色巾，两脚后垂或上翘 | 正式、庄重 | 24,161
[非遗] @古代·乌纱帽 | 官员礼帽，帽翅，明代官帽 | 黑纱，帽翅长 | 威严、官场 | 24,161
[非遗] @古代·东坡巾 | 高顶巾，四角，宋代苏轼戴 | 高桶，四边角，布质 | 文雅、洒脱 | 24,161
[非遗] @古代·唐巾 | 唐代男子头巾，软脚或硬脚 | 黑色，后垂两脚 | 潇洒、文人 | 24,161
[非遗] @古代·幅巾 | 包头布巾，汉代至明代，庶民文人 | 裹头，角后垂 | 朴素、儒雅 | 24,161
[非遗] @古代·凤冠 | 皇后礼冠，点翠，金龙凤，珠翠 | 金，翠鸟羽毛，珠宝，对称 | 华贵、皇家 | 24,161
[非遗] @古代·花冠 | 女子花形头冠，唐宋流行 | 绢花，珠饰，金钗 | 艳丽、柔美 | 24,161
[非遗] @古代·步摇 | 金玉垂珠，行步则摇，发饰 | 金簪，垂珠，晃动动态 | 摇曳、华丽 | 24,161
[非遗] @古代·发簪 | 单股发簪，金银玉角，男女通用 | 长针，雕刻，镶嵌 | 简洁、精致 | 24,161
[非遗] @古代·发钗 | 双股发钗，金银花鸟，挽发 | 双股，装饰，垂珠 | 温婉、雅致 | 24,161
[非遗] @古代·玉冠 | 玉质发冠，明代男子束发 | 白玉，筒形，插簪 | 高贵、清雅 | 24,161
[非遗] @古代·网巾 | 束发网罩，明代男子便帽 | 黑网，金属圈，束发 | 利落、实用 | 24,161
[非遗] @古代·抹额 | 额前束带，男女皆可，保暖装饰 | 布带，珠宝，刺绣 | 英武、俏丽 | 24,161
[非遗] @古代·鬓花 | 鬓边插花，男子簪花，宋代流行 | 鲜花，绢花，鬓角 | 风雅、浪漫 | 24,161
[非遗] @古代·耳坠 | 垂耳饰，金玉，流苏 | 耳饰，垂珠，晃动 | 摇曳、柔美 | 24,161
[非遗] @古代·耳环 | 环形耳饰，金银，简单 | 圆环，光面或刻花 | 简洁、大方 | 24,161
[非遗] @古代·项圈 | 颈部银圈，孩童佩戴，长命锁 | 银圈，锁形，铃铛 | 祈福、童趣 | 24,161
[非遗] @古代·璎珞 | 颈饰，珠玉串，佛教装饰 | 多串珠，宝石，垂坠 | 华贵、庄严 | 24,161
[非遗] @古代·玉佩 | 腰间挂佩，玉质，君子之德 | 白玉，绳结，行走碰撞 | 温润、雅致 | 24,161
[非遗] @古代·蹀躞带 | 革带挂物，多功能带，唐代流行 | 皮带，环扣，下垂小带 | 实用、英武 | 24,161
[非遗] @古代·腰带 | 束腰革带，金属带銙 | 革，铜或玉，装饰 | 干练、等级 | 24,161
[非遗] @古代·香囊 | 装香草的小囊，佩于身 | 刺绣，绳络，流苏 | 芬芳、雅致 | 24,161
[非遗] @古代·荷包 | 随身小袋，存放零碎 | 刺绣，抽绳，彩色 | 喜庆、精致 | 24,161
[非遗] @古代·扇袋 | 装扇子的小袋，刺绣工艺 | 窄长，流苏，绣纹 | 文雅、精致 | 24,161
[非遗] @古代·官靴 | 黑色长靴，翘头，官员穿 | 黑缎，白底，翘头 | 正式、威严 | 24,161
[非遗] @古代·布靴 | 黑色布面，千层底，日常鞋 | 黑布，白底，素面 | 朴实、舒适 | 24,161
[非遗] @古代·绣花鞋 | 绸面刺绣，弓鞋，三寸金莲 | 刺绣，红绸，翘尖 | 精巧、传统 | 24,161
[非遗] @古代·木屐 | 木齿屐，雨鞋，魏晋名士 | 木底，齿，麻绳 | 洒脱、旷达 | 24,161
[非遗] @古代·草鞋 | 稻草编织，僧侣农夫 | 草绳，粗犷，麻布 | 质朴、苦行 | 24,161
[非遗] @古代·翘头履 | 鞋头上翘，唐代女鞋 | 绸缎，翘头，绣纹 | 华丽、优雅 | 24,161
[非遗] @古代·云头履 | 鞋头如云朵，明代男鞋 | 黑缎，云头，白底 | 儒雅、文气 | 24,161
[非遗] @古代·花盆底 | 满族高底鞋，木底如花盆 | 高木底，绸面，穗子 | 高挑、旗风 | 24,161
[非遗] @古代·马蹄底 | 满族高底鞋，底如马蹄 | 高跟，绸缎，刺绣 | 威严、旗装 | 24,161

[非遗] @马面裙 | 明代马面裙，前后平幅如马面，两侧打褶，织金或刺绣 | 红、金、蓝，裙门纹样，褶裥分明，动态摆动 | 华美、端庄 | 24,161
[非遗] @飞鱼服 | 明代赐服，四爪飞鱼纹，云锦织金，锦衣卫官服 | 红、金、黑，飞鱼纹，云纹刺绣，英武 | 威严、凌厉 | 24,161
[非遗] @麒麟服 | 明代赐服，麒麟补子，公侯伯爵级 | 青、红、金，麒麟纹，圆领宽袖 | 尊贵、英武 | 24,161
[非遗] @斗牛服 | 明代赐服，斗牛纹（非真牛，龙首蟒身），三品以上 | 红、绿、金，斗牛纹，云纹 | 华贵、荣耀 | 24,161
[非遗] @蟒袍 | 明代赐服，五爪蟒龙纹，皇帝特赐 | 黄、红、金，蟒纹五爪，满绣云纹 | 至尊、威严 | 24,161
[非遗] @贴里 | 明代长袍，交领右衽，两侧褶，贴里便服 | 素色、暗纹，窄袖或宽袖，系带 | 潇洒、儒雅 | 24,161
[非遗] @道袍 | 明代文人便服，直领对襟，宽袖，系丝绦 | 素白、月白，暗纹，背扇 | 飘逸、仙风 | 24,161
[非遗] @直身 | 明代直身袍，交领宽袖，两侧开衩 | 素色，暗纹，腰系绦带 | 儒雅、简朴 | 24,161
[非遗] @褡护 | 明代半臂，罩袍外，短袖无领 | 绸缎，刺绣，镶边 | 利落、实用 | 24,161
[非遗] @曳撒 | 明代长袍，交领窄袖，两侧褶，骑马方便 | 深色，窄袖，腰束带 | 英武、干练 | 24,161
[非遗] @腰线袍 | 元代腰线袍，腰间多褶，便于骑射 | 深蓝、棕，皮腰带，长靴 | 雄浑、豪迈 | 24,161
[非遗] @辫线袄 | 元代长袍，腰间辫线打褶，皮质 | 棕、黑，辫线，翻领 | 粗犷、游牧 | 24,161
[非遗] @质孙服 | 元代礼服，一日一换，颜色分等级 | 纯色，窄袖，腰束带 | 统一、华贵 | 24,161
[非遗] @比甲 | 明代背心，无袖短衣，罩于袍外 | 绸缎，刺绣，对襟 | 秀丽、简洁 | 24,161
[非遗] @云肩 | 披肩装饰，四角如意云头，明清女服 | 彩色，刺绣，珠饰，对称 | 华丽、端庄 | 24,161
[非遗] @霞帔 | 宋明命妇礼服，彩帔，坠子 | 红、蓝、金，彩绣，凤纹 | 华贵、仪态 | 24,161
[非遗] @山文甲 | 唐代铠甲，甲片如山纹，层叠 | 银、黑，山形甲片，金属光泽 | 雄壮、威严 | 24,161,162
[非遗] @明光铠 | 唐代铠甲，胸前圆护如明镜 | 银、金，胸甲反光，战损痕迹 | 威武、华贵 | 24,161,162
[非遗] @锁子甲 | 铁环编缀，柔软可屈，西方传入 | 银灰，网格纹理，金属声 | 坚韧、厚重 | 24,161
[非遗] @鱼鳞甲 | 甲片如鱼鳞，明代甲胄常见 | 银黑，鳞片层叠，反光 | 精细、防护 | 24,161,162
[非遗] @札甲 | 长方形甲片编缀，秦汉至明 | 铜、铁，片片相连，沉重 | 古朴、实战 | 24,161,162
[非遗] @皮甲 | 皮革制甲，轻便，商周至汉 | 棕、黑，皮纹，铆钉 | 原始、轻便 | 24,161
[非遗] @胄 | 头盔，青铜或铁制，秦汉至明 | 铜绿、银黑，顶缨，护耳 | 威严、防护 | 24,161
[非遗] @兜鍪 | 唐代头盔，顶有缨，护颈 | 银、红缨，兽面纹 | 英武、华丽 | 24,161
[非遗] @凤翅盔 | 明代头盔，两侧飞翅如凤 | 金、银，凤翅，顶红缨 | 英气、华丽 | 24,161
[非遗] @襆头展脚 | 唐代官帽，两脚平直，八字分 | 黑色，长脚如翅，硬挺 | 威严、正式 | 24,161
[非遗] @襆头交脚 | 唐代官帽，两脚交叉于后 | 黑色，交叉脚，布质 | 随意、文雅 | 24,161
[非遗] @襆头朝天 | 宋代官帽，两脚上翘朝天 | 黑、红，翘脚，高冠 | 正式、夸张 | 24,161
[非遗] @东坡巾 | 宋代高顶巾，四角，苏东坡戴 | 黑、灰，高桶，布角 | 文雅、洒脱 | 24,161
[非遗] @浩然巾 | 明代文士头巾，后垂长布 | 黑、青，长垂后带 | 儒雅、飘逸 | 24,161
[非遗] @平顶巾 | 明代官员便帽，平顶无脚 | 黑，纱，筒形 | 简洁、正式 | 24,161
[非遗] @六合一统帽 | 明代瓜皮帽，六瓣缝合，平民男帽 | 黑、深蓝，六瓣，顶珠 | 朴实、实用 | 24,161
[非遗] @万字巾 | 明代头巾，顶如万字，文人雅士 | 黑、青，万字结 | 文雅、吉祥 | 24,161
[非遗] @飘飘巾 | 明代头巾，后垂两带，飘逸 | 黑、白，长带飘动 | 洒脱、放达 | 24,161
[非遗] @蒙古族头饰 | 姑姑冠，高冠，元明清蒙古妇女 | 银、珊瑚，圆形高顶，珠串 | 华丽、异域 | 24,161
[非遗] @藏族头饰 | 巴珠，珊瑚蜜蜡，珠串盘发 | 红、黄、蓝，珠子，对称 | 华贵、民族 | 24,161
[非遗] @苗族头饰 | 银角，大牛角，银花，精美 | 白银，牛角形，錾花 | 华丽、民族 | 24,161
[非遗] @彝族头饰 | 荷叶帽，黑布缀银饰 | 黑、银，荷叶形，珠串 | 民族、神秘 | 24,161
[非遗] @满族钿子 | 满族妇女假发髻，点翠珠花 | 黑、翠蓝，花朵，金珠 | 端庄、华丽 | 24,161
[非遗] @汉族勒子 | 额前抹额，绣花，镶玉，保暖 | 绸缎，刺绣，宝石 | 温婉、秀丽 | 24,161

[非遗] @圆领袍·唐 | 唐代男子公服，圆领袖口，束革带，裹幞头 | 红、紫、绿，圆领，宽袖，翘头靴 | 正式、华贵 | 24,161
[非遗] @缺胯袍 | 唐代缺胯袍，两侧开衩，便于活动，军将常穿 | 深色，窄袖，开衩至胯 | 英武、干练 | 24,161
[非遗] @半臂·唐 | 唐代短袖衣，套于襦外，男女皆可 | 彩色，无袖或短袖，锦边 | 俏丽、灵动 | 24,161
[非遗] @袒领服 | 唐代袒领，露出脖颈，性感华丽 | 低领，露出锁骨，丝绸光泽 | 妩媚、贵气 | 24,161
[非遗] @大袖衫·唐 | 唐代大袖礼服，透明纱罗，五代延续 | 薄纱，大袖，印花，飘逸 | 仙气、华美 | 24,161,22
[非遗] @襕袍 | 唐代袍服，膝部横襕，官员朝服 | 红、紫，横襕纹，宽袖 | 正式、等级 | 24,161
[非遗] @绛纱袍 | 宋代祭服，红色纱袍，皇帝冕服 | 红纱，黑色缘边，大袖 | 庄严、神圣 | 24,161
[非遗] @朱子深衣 | 朱熹设计，儒家礼服，交领宽袖 | 素白或灰，缘边，腰系带 | 儒雅、正气 | 24,161
[非遗] @直裰·宋 | 宋代男子便服，交领宽袖，两侧开衩 | 素色，暗纹，腰系绦带 | 简朴、洒脱 | 24,161
[非遗] @貉袖 | 宋代短袖，套于长袖外，保暖 | 厚布，短袖，镶毛边 | 温暖、实用 | 24,161
[非遗] @霞帔坠 | 霞帔下端金玉坠子，宋明命妇 | 金、玉，坠形如牌，悬挂 | 华贵、仪态 | 24,161
[非遗] @凤冠霞帔 | 明代命妇礼服，凤冠金饰，霞帔彩绣 | 金、红、蓝，凤纹，珠翠 | 华贵、喜庆 | 24,161
[非遗] @翟衣 | 明代皇后礼服，深青，翟鸟纹 | 深青、金，翟纹，大袖 | 庄严、皇家 | 24,161
[非遗] @鞠衣 | 明代妃嫔礼服，黄色，菊花纹 | 黄、金，菊纹，宽袖 | 温婉、尊贵 | 24,161
[非遗] @褖衣 | 明代常服，红罗，缘边 | 红、黑，窄袖，简洁 | 端庄、大方 | 24,161
[非遗] @士人袍 | 明代文人便袍，素色直身 | 月白、灰，暗纹，腰系丝绦 | 儒雅、清高 | 24,161
[非遗] @主腰 | 明代贴身内衣，束胸，如肚兜 | 红、粉，刺绣，细带 | 私密、娇美 | 24,161
[非遗] @旗袍·京派 | 京派旗袍，宽身平直，端庄大气 | 深色，滚边，刺绣 | 典雅、稳重 | 24,161
[非遗] @旗袍·海派 | 海派旗袍，收身开衩，时尚曲线 | 花色，高衩，印花，蕾丝 | 性感、洋气 | 24,161
[非遗] @旗袍·苏派 | 苏派旗袍，刺绣精美，柔美温婉 | 淡色，绣花，丝绸光泽 | 精致、柔美 | 24,161
[非遗] @短褂 | 清代短褂，套于袍外，对襟 | 深色，立领，袖口马蹄 | 干练、庄重 | 24,161
[非遗] @行褂 | 清代行服，短褂，骑马时穿 | 素色，窄袖，前开衩 | 实用、便捷 | 24,161
[非遗] @端罩 | 清代皮裘外套，圆领对襟，冬季礼服 | 毛皮，黑缎，皮毛缘边 | 华贵、保暖 | 24,161
[非遗] @补褂 | 清代外褂，胸前缀补子，官员 | 石青，补子，圆领 | 威严、等级 | 24,161
[非遗] @龙褂 | 清代皇族礼服，龙纹补子 | 金黄，五爪龙，云纹 | 至尊、皇室 | 24,161
[非遗] @朝裙 | 清代女朝裙，红裙，前襟刺绣 | 红，绣龙，褶裙 | 正式、华美 | 24,161
[非遗] @氅衣·清 | 清代氅衣，宽身，镶滚繁复，女便服 | 彩缎，多层花边，挽袖 | 奢华、繁复 | 24,161
[非遗] @衬衣·清 | 清代女衬衣，直身无开衩，内穿 | 素色，窄袖，镶边 | 素雅、内敛 | 24,161
[非遗] @花盆底鞋 | 满族高底鞋，木底如花盆，旗女穿 | 绸面，绣花，木底白 | 高挑、婀娜 | 24,161
[非遗] @马蹄底鞋 | 满族高底鞋，底如马蹄，行步有声 | 绸缎，马蹄形，穗子 | 威严、旗装 | 24,161
[非遗] @学士冠 | 明代儒士礼帽，黑色方巾 | 黑，四角，帽顶平 | 儒雅、学识 | 24,161
[非遗] @四方平定巾 | 明代平民黑巾，方形，寓意四方平定 | 黑，方顶，布质 | 朴实、吉祥 | 24,161
[非遗] @网巾·明 | 明代男子束发网罩，金属圈固定 | 黑网，圆环，束发 | 利落、日常 | 24,161
[非遗] @金丝冠 | 明代金冠，金丝编成，出土文物 | 金丝，镂空，纤巧 | 奢华、精巧 | 24,161
[非遗] @乌角带 | 明代革带，黑漆角，饰金铜 | 黑、金，方形带銙 | 威严、正式 | 24,161
[非遗] @玉革带 | 明代玉带，白玉带銙，等级高 | 白玉，金饰，革带 | 尊贵、华美 | 24,161
[非遗] @三台带 | 明代三台带，带銙三组，一品官 | 金、玉，三台形 | 高级、威严 | 24,161
[非遗] @吉服带 | 清代吉服带，腰间悬挂配饰 | 金黄，荷包，刀鞘，坠子 | 华丽、吉庆 | 24,161
[非遗] @朝珠 | 清代礼挂，108颗，佛头，背云 | 珊瑚、青金、蜜蜡，长串 | 庄严、礼仪 | 24,161
[非遗] @扳指 | 清代扳指，套拇指，玉或骨，骑射 | 玉、翡翠，圆筒形 | 英武、贵气 | 24,161

[非遗] @飞鱼纹 | 飞鱼服核心纹样，龙头鱼身，四爪，金黄织金 | 金、红、蓝，飞鱼腾云，鳞片反光 | 威严、神秘 | 24,161
[非遗] @斗牛纹 | 斗牛服纹样，龙首蟒身，角弯曲如牛，三品以上 | 金、绿，角状，云纹环绕 | 尊贵、英武 | 24,161
[非遗] @麒麟纹 | 麒麟服纹样，麒麟踏云，象征祥瑞，公侯级 | 金、青，麒麟昂首，火焰纹 | 祥瑞、威仪 | 24,161
[非遗] @蟒纹 | 蟒袍纹样，五爪蟒龙，头有角，皇帝特赐 | 金黄、红，五爪，盘旋云中 | 至尊、压迫 | 24,161
[非遗] @织金纱 | 明代织金纱，纱底织金，透明华丽，用于大袖衫 | 金、透明，纱纹，金光闪烁 | 华贵、仙气 | 24,161
[非遗] @妆花缎 | 云锦妆花缎，五彩织金，凹凸有致，皇家用 | 彩、金，花卉，凹凸感 | 华丽、皇家 | 24,161
[非遗] @改机 | 明代改良织机，织出宽幅绸缎，适用服饰 | 各色，宽幅，细密纹 | 实用、创新 | 24
[非遗] @顾绣袍 | 明代顾绣技法绣袍，画绣结合，文人气息 | 淡彩，水墨感，丝线光泽 | 雅致、书卷 | 24,161
[非遗] @潞绸 | 明代潞安绸，厚重光亮，制作官服 | 红、蓝，光泽，垂坠 | 华贵、厚实 | 24,161
[非遗] @绒缎 | 明代绒缎，表面起绒，温暖华丽 | 深红、墨绿，绒毛感，柔软 | 温暖、华美 | 24,161
[非遗] @蜀锦袍 | 唐代蜀锦织成锦袍，五彩斑斓，官员华服 | 彩、金，锦纹，光泽 | 绚丽、尊贵 | 24,161
[非遗] @宋锦袍 | 宋代宋锦袍，几何纹，素雅古朴 | 淡雅色，几何，暗纹 | 典雅、古朴 | 24,161
[非遗] @云锦袍 | 明代云锦袍，妆花织金，龙纹凤纹 | 金、红、蓝，厚重，浮雕感 | 华丽、皇家 | 24,161
[非遗] @龙袍 | 清代皇帝礼服，明黄色，九条五爪龙 | 明黄、金，九龙，十二章纹 | 至尊、威严 | 24,161
[非遗] @朝服 | 清代朝服，蓝或石青色，披领，补子 | 石青，披肩，补子 | 庄严、正式 | 24,161
[非遗] @吉服 | 清代吉服，节日喜庆穿，龙纹或花蝶 | 红、金黄，刺绣，镶边 | 喜庆、华美 | 24,161
[非遗] @行服 | 清代行服，骑马打猎，短袖，简洁 | 深色，窄袖，开衩 | 便捷、英武 | 24,161
[非遗] @雨服 | 清代雨衣，油绸制，防雨，出行 | 棕、黑，油光，连帽 | 实用、古朴 | 24,161
[非遗] @盔甲·清 | 清代盔甲，铁叶编缀，顶缨，将军用 | 银黑，红缨，甲片 | 威武、实战 | 24,161,162
[非遗] @棉甲 | 清代棉甲，布面缀铜钉，轻便 | 蓝布，铜钉，棉厚 | 轻便、实用 | 24,161
[非遗] @铁甲·宋 | 宋代铁甲，山文甲，层叠如叶 | 银黑，山纹，沉重 | 雄壮、威严 | 24,161,162
[非遗] @皮铠·汉 | 汉代皮铠，牛皮，铜泡钉 | 棕，泡钉，粗犷 | 原始、实战 | 24,161
[非遗] @青铜胄 | 商周青铜头盔，兽面纹，顶有缨孔 | 青铜绿，兽面，厚重 | 古朴、威严 | 24,161
[非遗] @铁兜鍪 | 汉代铁兜鍪，护耳，顶缨 | 铁黑，护耳，红缨 | 英武、实战 | 24,161
[非遗] @凤冠·明 | 明代凤冠，点翠，金凤，珠宝，皇后礼冠 | 金、翠蓝，凤鸟，珠串 | 华贵、庄严 | 24,161
[非遗] @凤冠·宋 | 宋代凤冠，龙凤花钗，垂珠，命妇用 | 金、银，花钗，垂珠 | 华丽、端庄 | 24,161
[非遗] @花冠·唐 | 唐代花冠，绢花金饰，女子礼帽 | 彩花，金箔，步摇 | 艳丽、娇美 | 24,161
[非遗] @莲冠 | 宋代道士冠，莲瓣形，玉或木 | 白玉、木色，莲瓣 | 仙气、清高 | 24,161
[非遗] @芙蓉冠 | 唐代女冠，芙蓉花形，道姑戴 | 金、银，芙蓉，镂空 | 飘逸、道韵 | 24,161
[非遗] @纯阳巾 | 明代道士巾，后有披布，明代文人效仿 | 黑、青，后披，高顶 | 仙风、道骨 | 24,161
[非遗] @华阳巾 | 明代文士巾，类似唐巾，后垂两带 | 黑，后带，素面 | 儒雅、洒脱 | 24,161
[非遗] @逍遥巾 | 明代头巾，后垂两长带，飘动 | 黑，长带，飘逸 | 放达、自由 | 24,161
[非遗] @云巾 | 明代头巾，饰云纹，文人雅士 | 青、灰，云纹，窄边 | 文雅、隐逸 | 24,161
[非遗] @幅巾·明 | 明代幅巾，裹头布，角后垂，平民文人 | 黑、蓝，裹头，布角 | 朴素、儒雅 | 24,161
[非遗] @皂隶帽 | 明代衙役黑帽，方形，无顶珠 | 黑，方顶，布制 | 低微、身份 | 24,161
[非遗] @毡笠 | 宋代毡笠，毛毡圆顶，军士戴 | 灰、棕，圆顶，护耳 | 英武、实用 | 24,161
[非遗] @范阳笠 | 宋代范阳毡笠，方顶，军士将官戴 | 棕、黑，方顶，宽沿 | 威武、军旅 | 24,161
[非遗] @东坡笠 | 海南东坡笠，竹编圆顶，苏东坡遗风 | 竹黄，圆顶，绳带 | 质朴、隐逸 | 24,161
[非遗] @黎族筒裙 | 海南黎族筒裙，织锦，彩色几何纹 | 红、黄、黑，几何，织花 | 民族、艳丽 | 24,161
[非遗] @壮族蓝靛裙 | 壮族蓝靛染裙，深蓝，蜡染花纹 | 深蓝，白花，百褶 | 古朴、民族 | 24,161
[非遗] @苗裙 | 苗族百褶裙，银饰坠边，彩色刺绣 | 蓝、红、绿，百褶，银片 | 华美、民族 | 24,161



---文档结束---
